X1,X2,X3,X4,X5,X6,X7,X8,y_deterministic,y
0.235,0.637,0.087,0.502,0.349,-0.696,-0.083,0.472,0.289,0.314
0.129,0.436,0.771,0.361,0.772,0.8,-0.203,1.046,1.412,1.306
0.905,0.254,0.483,0.126,-0.765,0.617,0.301,-0.899,3.505,3.45
0.672,0.826,0.03,0.502,-1.594,0.398,1.373,1.046,0.652,0.638
0.583,0.915,0.217,0.973,0.259,0.617,-0.547,-1.172,0.485,0.452
0.383,0.514,0.454,0.05,-0.254,0.109,0.775,-1.127,2.971,3.176
0.905,0.163,0.281,0.414,1.04,-0.177,-0.471,-2.691,2.565,2.409
0.635,0.866,0.754,0.373,1.66,1.331,1.373,-0.899,2.672,2.517
0.034,0.866,0.561,0.06,-0.601,-0.177,1.878,-1.282,1.68,1.782
0.905,0.244,0.853,0.945,-1.508,-0.696,1.232,0.097,1.524,1.619
0.764,0.915,0.051,0.931,1.66,-0.437,-1.253,-0.091,1.194,1.131
0.712,0.637,0.901,0.108,1.66,1.751,-0.515,-1.448,4.138,3.797
0.106,0.6,0.514,0.49,0.401,0.398,-0.872,0.813,0.702,0.704
0.44,0.436,0.585,0.39,1.04,-0.925,-0.196,0.313,1.613,1.453
0.332,0.866,0.748,0.718,-0.055,-0.47,-1.336,-0.161,0.928,0.879
0.058,0.967,0.969,0.044,-0.085,1.331,0.093,-0.58,3.48,3.33
0.411,0.562,0.901,0.395,0.401,-0.369,-1.448,-2.15,2.148,2.208
0.209,0.562,0.074,0.143,-1.594,0.8,-1.807,-0.291,2.287,2.349
0.935,0.866,0.989,0.726,-0.085,-0.177,-1.039,-0.161,2.39,2.304
0.583,0.738,0.349,0.609,-1.594,0.109,0.339,0.572,0.747,0.722
0.86,0.637,0.853,0.682,-0.641,-0.696,-0.347,-1.448,1.938,1.872
0.025,0.806,0.387,0.229,0.229,-0.369,0.133,0.777,0.695,0.714
0.152,0.041,0.771,0.006,-0.507,0.69,-1.039,-0.973,6.309,6.688
0.808,0.29,0.663,0.291,0.229,1.331,-1.807,-0.294,2.534,2.42
0.808,0.844,0.728,0.35,-0.055,-4,-2.435,1.443,2.485,2.381
0.093,0.163,0.02,0.35,-0.085,0.723,1.034,0.003,0.652,0.681
0.974,0.738,0.165,0.291,0.136,-0.852,0.339,1.771,2.018,1.885
0.264,0.436,0.03,0.409,0.076,-0.177,0.133,1.443,0.665,0.613
0.383,0.775,0.31,0.05,0.725,-0.369,1.498,-0.748,2.433,2.474
0.332,0.935,0.504,0.912,0.076,-0.177,0.133,-0.58,-0.063,-0.065
0.383,0.244,0.728,0.026,-0.866,1.056,-1.039,-1.748,4.409,4.498
0.418,0.738,0.912,0.863,0.401,-2.628,-0.138,0.712,0.672,0.693
0.712,0.254,0.043,0.941,0.076,0.174,1.878,0.288,0.33,0.325
0.672,0.041,0.043,0.247,-0.409,0.617,0.204,-0.973,2.502,2.642
0.235,0.637,0.629,0.398,-0.601,-0.177,0.023,-0.778,0.93,0.919
0.418,0.101,0.145,0.016,0.401,0.398,-0.515,-0.973,4.804,4.862
0.571,0.844,0.733,0.397,0.349,0.398,0.204,1.114,1.577,1.644
0.492,0.95,0.02,0.432,-2.243,0.8,-1.19,0.813,1.293,1.284
0.905,0.101,0.373,0.171,-0.507,0.723,-0.347,-1.748,3.507,3.691
0.635,0.101,0.328,0.838,-4,-2.628,-2.435,1.257,1.609,1.679
0.223,0.041,0.252,0.931,1.66,-2.628,0.775,1.257,0.182,0.168
0.069,0.163,0.771,0.325,-0.866,0.398,1.373,-0.394,1.069,1.008
0.764,0.436,0.409,0.223,-0.18,-0.696,-0.471,0.097,2.492,2.575
0.069,0.101,0.373,0.502,0.401,-0.177,-1.648,-0.748,1.114,1.103
0.876,0.101,0.629,0.471,0.253,0.208,-0.347,-0.246,2.577,2.495
0.583,0.935,0.281,0.665,-2.028,-0.369,-0.921,1.795,0.838,0.862
0.157,0.806,0.439,0.825,1.66,1.331,1.067,-2.15,0.59,0.625
0.003,0.915,0.047,0.947,-0.409,-2.628,0.614,0.856,-1.342,-1.321
0.264,0.163,0.116,0.803,0.259,0.398,2.513,0.499,-0.396,-0.433
0.408,0.163,0.439,0.812,-1.22,-0.925,-0.471,1.348,0.8,0.823
0.223,0.976,0.129,0.634,1.391,-2.628,1.232,-0.58,-0.457,-0.466
0.396,0.254,0.853,0.182,0.215,-2.628,-0.537,0.278,2.556,2.348
0.157,0.163,0.415,0.124,-0.84,-2.628,-0.921,0.777,2.157,1.966
0.459,0.009,0.226,0.325,0.956,-1.052,0.023,0.335,2.007,1.855
0.069,0.826,0.712,0.705,1.329,-0.696,0.737,0.003,0.05,0.053
0.034,0.637,0.544,0.557,1.04,1.331,0.204,1.443,0.661,0.7
0.583,0.009,0.226,0.445,0.401,-0.369,1.373,2.027,1.396,1.47
0.192,0.069,0.765,0.291,-0.055,0.208,-0.616,0.551,2.118,2.125
0.832,0.069,0.328,0.008,1.207,-0.369,-0.921,-2.15,6.702,6.405
0.106,0.254,0.302,0.462,0.401,1.856,-1.07,0.217,0.714,0.697
0.79,0.915,0.845,0.767,-0.765,-0.177,-0.778,2.268,1.699,1.812
0.307,0.526,0.67,0.734,2.057,0.398,-1.039,-0.899,1.364,1.443
0.182,0.826,0.281,0.604,0.401,-0.177,1.878,-0.217,-0.569,-0.616
0.712,0.009,0.226,0.285,1.04,-1.132,0.023,1.257,2.616,2.533
0.27,0.009,0.871,0.866,-1.22,0.109,0.614,-2.15,1.134,1.135
0.44,0.78,0.252,0.859,0.245,0.723,0.775,-0.246,0.06,0.057
0.424,0.614,0.67,0.21,-0.66,0.398,0.204,-1.127,1.991,1.951
0.371,0.78,0.172,0.833,-0.866,-0.925,0.314,-0.58,-0.171,-0.187
0.405,0.806,0.853,0.499,0.596,-2.628,0.315,-0.58,0.917,0.961
0.672,0.163,0.349,0.665,-0.889,0.617,0.983,1.24,1.197,1.212
0.583,0.984,0.129,0.89,-0.507,-0.696,-1.688,-0.58,0.656,0.667
0.524,0.915,0.608,0.865,0.002,0.617,0.339,1.123,0.55,0.502
0.332,0.218,0.074,0.414,0.401,1.056,1.067,0.184,1.461,1.486
0.302,0.637,0.424,0.742,1.04,0.208,0.775,-1.557,0.235,0.214
0.583,0.738,0.486,0.715,0.349,1.331,-0.537,-0.091,0.951,0.963
0.383,0.637,0,0.278,0.772,0.97,0.919,0.499,1.568,1.684
0.062,0.738,0.663,0.684,-0.84,-0.177,-0.108,-0.316,0.089,0.082
0.712,0.29,0.67,0.904,-1.22,1.856,-1.336,-0.394,1.433,1.293
0.876,0.984,0.853,0.82,0.229,0.97,0.204,0.472,1.79,1.914
0.624,0.101,0.544,0.016,-4,-1.087,-1.448,0.988,5.591,6.101
0.583,0.163,0.299,0.902,-0.507,1.331,1.373,-0.899,1.409,1.407
0.034,0.218,0.281,0.789,1.207,1.331,0.133,0.888,0.447,0.437
0.712,0.436,0.645,0.008,0.772,-0.696,0.093,-0.263,5.811,5.799
0.289,0.935,0.172,0.664,0.401,0.208,0.919,0.66,-0.247,-0.26
0.79,0.726,0.187,0.548,1.207,0.208,-0.108,0.66,1.539,1.453
0.556,0.436,0.008,0.095,-0.115,0.398,-1.648,-2.691,3.257,3.428
0.974,0.866,0.316,0.027,0.136,-0.177,-1.648,-0.628,5.059,4.916
0.069,0.722,0.074,0.285,0.314,-0.177,0.614,1.257,0.337,0.369
0.034,0.101,0.222,0.462,-0.085,0.398,-0.778,-2.15,0.839,0.758
0.069,0.436,0.976,0.05,1.66,-0.177,1.498,0.888,3.28,3.421
0.309,0.355,0.808,0.191,-0.641,0.109,-0.083,-1.448,2.318,2.222
0.309,0.163,0.087,0.134,0.054,-2.628,-0.196,1.856,1.982,1.836
0.157,0.562,0.978,0.599,0.136,1.143,0.737,1.046,1.385,1.362
0.424,0.355,0.901,0.182,-1.508,-1.24,1.232,-0.973,2.209,2.1
0.411,0.163,0.715,0.227,-1.22,-0.369,-0.471,-0.973,2.454,2.439
0.538,0.314,0.838,0.356,2.365,-0.177,1.373,0.551,2.214,2.032
0.672,0.254,0.226,0.48,0.308,-2.628,-2.435,0.003,1.992,1.841
0.411,0.79,0.208,0.12,0.314,0.617,1.878,-1.557,1.594,1.734
0.117,0.101,0.471,0.722,0.349,-0.177,0.478,1.795,0.285,0.277
0.808,0.844,0.542,0.069,-1.22,-1.052,-1.253,0.729,3.813,4.02
0.764,0.526,0.826,0.552,1.66,-1.052,-1.19,0.729,2.548,2.717
0,0.844,0.053,0.333,-1.594,0.617,0.426,-0.748,0.179,0.185
0.117,0.355,0.25,0.06,0.596,1.331,-0.108,-0.217,2.74,2.638
0.844,0.614,0.034,0.675,0.725,-0.696,-0.347,-0.19,1.208,1.277
0.235,0.826,0.057,0.453,2.057,0.398,-0.083,-0.19,0.799,0.858
0.799,0.738,0.03,0.991,0.136,-1.24,2.513,0.888,-0.249,-0.266
0.383,0.163,0.165,0.641,-2.028,0.208,1.498,-1.748,0.349,0.346
0.783,0.436,0.712,0.641,-2.028,1.242,0.671,-1.448,2.121,2.022
0.309,0.826,0.116,0.577,-2.028,-2.628,-0.778,-0.798,0.197,0.189
0.235,0.637,0.281,0.194,0.848,1.856,0.671,-0.748,2.031,2.234
0.44,0.637,0.387,0.806,-0.581,1.143,0.614,-0.768,0.733,0.695
0.661,0.637,0.568,0.471,0.848,0.8,1.067,-0.19,1.511,1.362
0.371,0.866,0.331,0.644,0.136,1.331,-1.19,-0.086,0.334,0.302
0.309,0.041,0.053,0.82,2.365,0.174,-0.083,0.499,1.086,1.019
0.672,0.844,0.047,0.763,-0.224,-2.628,0.204,0.888,0.273,0.254
0.034,0.514,0.217,0.095,-0.18,-0.177,-2.435,0.003,2.461,2.562
0.025,0.738,0.424,0.954,0.349,0.174,-0.537,0.184,-0.407,-0.401
0.974,0.826,0.331,0.781,0.349,1.242,-0.471,-0.899,1.405,1.483
0.459,0,0.486,0.332,-0.601,0.208,0.614,-1.448,2.023,1.89
0.965,0.984,0.691,0.414,-0.507,0.174,-1.07,0.66,2.492,2.554
0.583,0.06,0.187,0.837,-0.958,-0.696,0.133,1.257,0.938,0.872
0.366,0.436,0.074,0.668,2.365,0.398,-0.471,0.572,1.079,1.086
0.106,0.637,0.525,0.684,1.04,-0.696,-0.347,-0.394,0.297,0.302
