X1,X2,X3,X4,X5,X6,X7,X8,y_deterministic,y
0.876,0.844,0.226,0.112,0.908,1.331,-0.805,0.42,3.226,2.952
0.492,0.984,0.187,0.682,-0.66,1.331,-0.537,0.729,0.495,0.543
0.276,0.355,0.25,0.763,-0.237,1.143,1.684,-1.127,0.813,0.776
0.332,0.436,0.439,0.823,-0.507,-2.628,-0.471,0.813,0.219,0.238
0.424,0.069,0.03,0.197,0.772,0.208,-0.347,-0.58,2.273,2.286
0.75,0.775,0.518,0.589,1.04,0.398,-0.347,0.288,1.657,1.747
0.016,0.29,0.771,0.027,0.596,-0.47,0.478,0.888,3.506,3.292
0.583,0.314,0.929,0.846,-1.22,0.398,0.315,0.003,1.495,1.549
0.661,0.637,0.912,0.166,-0.409,-0.369,0.568,-0.072,2.845,3.112
0.672,0.71,0.739,0.05,-0.866,1.242,-0.347,1.114,4.12,4.366
0.459,0.826,0.364,0.665,0.238,-0.925,-0.471,-0.597,0.528,0.547
0.208,0.984,0.534,0.89,-0.889,0.174,-1.648,0.313,0.305,0.325
0.235,0.614,0.129,0.132,-1.22,1.143,0.339,-1.282,1.99,1.937
0.484,0.101,0.383,0.675,-0.409,0.8,-0.347,-0.291,1.382,1.394
0.034,0.637,0.733,0.668,-0.84,0.208,2.292,-0.748,-0.462,-0.424
0.844,0.009,0.832,0.968,0.054,0.208,0.523,0.988,2.056,1.986
0.583,0.218,0.949,0.755,-0.237,1.056,0.4,-0.086,2.085,2.09
0.672,0.562,0.76,0.661,-0.66,-0.437,-1.19,-0.305,1.799,1.712
0.952,0.355,0.608,0.562,2.057,-0.696,0.523,0.003,2.296,2.419
0.359,0.637,0.561,0.431,-0.507,1.331,-0.669,-0.161,1.157,1.156
0.016,0.614,0.424,0.817,1.329,-2.628,-0.471,0.003,-0.227,-0.216
0.034,0.738,0.629,0.325,0.259,0.208,-0.347,1.443,0.848,0.851
0.069,0.637,0.129,0.604,0.136,0.617,1.373,0.472,-0.438,-0.446
0.157,0.866,0.708,0.158,-0.804,1.751,0.133,0.988,2.084,2.029
0.75,0.637,0.172,0.273,-0.507,-1.052,-0.196,0.42,1.874,2.041
0.468,0.272,0.697,0.093,2.057,0.723,1.373,-0.973,3.345,3.589
0.672,0.946,0.226,0.634,0.076,1.331,1.112,0.335,1.266,1.213
0.182,0.826,0.67,0.353,1.66,-0.925,-0.347,0.393,1.263,1.329
0.783,0.163,0.087,0.979,0.002,-2.628,-0.203,-1.584,0.871,0.808
0.062,0.607,0.252,0.471,-0.409,0.398,-0.196,0.097,0.25,0.263
0.192,0.009,0.738,0.373,0.956,-0.696,1.747,-0.229,1.389,1.332
0.034,0.614,0.31,0.435,-0.581,-0.177,-0.404,0.472,0.311,0.331
0.492,0.254,0.514,0.888,0.401,-1.132,-1.19,-1.282,1.035,1.001
0.518,0.314,0.715,0.813,-0.409,1.856,-2.435,-0.394,1.001,1.093
0.157,0.726,0.063,0.813,-1.266,-0.369,0.523,1.771,-0.545,-0.57
0.069,0.314,0,0.003,-0.224,-0.177,-0.872,-0.412,5.62,5.561
0.157,0.009,0.02,0.809,-0.055,-0.177,0.614,2.003,0.205,0.206
0.868,0.436,0.663,0.49,1.391,0.398,-0.805,0.313,2.659,2.797
0.672,0.915,0.771,0.417,-0.66,0.208,-0.921,0.856,2.051,2.075
0.27,0.29,0.881,0.541,-2.243,-1.052,-0.347,1.443,1.352,1.303
0.85,0.726,0.331,0.846,0.245,-2.628,-0.347,0.813,0.838,0.839
0.583,0.614,0.832,0.145,-0.507,0.8,0.093,-0.445,3.05,3.331
0.492,0.548,0.129,0.095,-0.765,-0.696,-1.807,-0.017,3.014,2.822
0.712,0.069,0.349,0.866,-0.804,-0.369,-0.196,-0.217,1.341,1.37
0.276,0.101,0,0.218,-0.087,0.398,0.614,-1.448,1.573,1.648
0.624,0.314,0.387,0.468,-1.508,1.331,-0.364,1.257,1.696,1.58
0.44,0.614,0.302,0.027,-0.18,0.617,-0.347,0.313,3.959,3.678
0.44,0.637,0.58,0.976,1.599,0.97,-1.19,0.003,0.653,0.711
0.952,0.436,0.808,0.39,0.223,-0.696,0.614,0.988,2.441,2.286
0.383,0.915,0.929,0.621,0.136,1.856,0.523,1.257,1.569,1.594
0.424,0.844,0.918,0.075,2.365,0.97,-2.435,0.003,3.479,3.247
0.129,0.79,0.979,0.921,0.725,-0.47,-0.515,-1.172,0.498,0.521
0.974,0.355,0.853,0.543,-0.409,0.69,0.614,-0.017,2.498,2.64
0.583,0.844,0.912,0.152,0.401,-0.723,0.737,1.443,2.585,2.795
0.411,0.101,0.208,0.134,-1.594,-0.696,0.204,-1.748,2.365,2.376
0.069,0.738,0.217,0.888,0.259,-0.696,-0.347,0.988,-0.531,-0.502
0.808,0.844,0.534,0.772,-0.625,-0.852,0.523,0.097,0.878,0.893
0.235,0.29,0.424,0.693,-1.22,0.8,-0.347,0.856,0.708,0.757
0.44,0.71,0.929,0.441,-0.641,-0.177,1.747,0.66,1.114,1.062
0.365,0.009,0.853,0.445,1.207,-0.696,-0.471,-0.394,2.43,2.543
0.661,0.312,0.568,0.828,0.136,-2.628,0.093,-0.628,0.885,0.874
0.556,0.101,0.585,0.229,-0.409,0.208,-1.253,0.335,2.922,2.687
0.396,0.637,0.053,0.042,0.349,1.856,-0.805,1.348,3.32,3.611
0.383,0.935,0.826,0.273,-0.804,0.208,0.919,-0.161,1.47,1.391
0.79,0.314,0.385,0.093,-1.22,0.723,-0.369,-1.172,3.675,3.88
0.53,0.272,0.663,0.06,1.391,0.208,-0.347,1.123,4.115,4.482
0.069,0.314,0.145,0.435,-2.028,0.398,-0.124,0.777,0.497,0.486
0.117,0.899,0.275,0.273,1.04,-0.852,0.663,-0.445,0.568,0.513
0.371,0.79,0.585,0.929,-0.641,-2.628,-0.138,1.443,-0.007,-0.007
0.276,0.218,0.165,0.825,-0.409,-0.369,-0.196,0.288,0.286,0.285
0.192,0.562,0.165,0.947,-2.028,-1.052,-0.712,0.988,-0.203,-0.192
0.635,0.722,0.853,0.143,-3,-0.696,0.093,0.729,2.898,2.658
0.309,0.78,0.331,0.9,1.391,-0.696,-2.435,0.938,0.842,0.843
0.034,0.526,0.454,0.105,0.401,-0.369,0.614,0.472,1.572,1.516
0.935,0.844,0.617,0.609,0.076,1.331,0.204,0.217,1.994,2.159
0.484,0.915,0.415,0.869,0.596,1.856,0.204,-1.748,0.664,0.706
0.484,0.101,0.172,0.139,-0.18,-0.369,-0.712,-0.033,2.758,2.776
0.332,0.614,0,0.275,-0.625,1.856,-0.471,-0.973,1.4,1.325
0.276,0.436,0.518,0.05,0.401,1.331,0.983,-1.557,3.576,3.758
0.935,0.069,0.047,0.627,0.076,-0.177,0.919,0.938,1.642,1.593
0.034,0.009,0.608,0.731,-0.66,0.723,-1.039,0.003,1.107,1.085
0.192,0.355,0.331,0.108,-0.055,-0.177,0.614,-0.086,1.895,1.862
0.289,0.355,0.172,0.382,-0.765,1.143,0.133,-2.691,1.186,1.16
0.764,0.314,0.252,0.738,-1.22,0.109,-0.471,1.24,1.372,1.374
0.712,0.069,0.165,0.06,0.401,1.331,1.067,-0.899,4.374,4.714
0.583,0.562,0,0.607,-3,1.056,-0.547,1.123,0.931,0.913
0.157,0.314,0.387,0.42,0.981,0.208,0.919,-0.628,0.688,0.635
0.332,0.514,0.187,0.143,0.596,0.97,-2.435,0.888,1.582,1.443
0.468,0.526,0.302,0.115,0.401,0.174,-1.648,0.472,2.903,3.051
0.712,0.254,0.281,0.359,-0.601,-0.177,0.204,0.003,1.837,1.663
0.003,0.738,0.053,0.016,-0.866,1.331,0.478,0.988,3.644,3.398
0.258,0.101,0.226,0.947,1.04,-0.696,-0.745,-0.58,0.627,0.676
0.302,0.009,0.712,0.896,-3,0.398,0.204,-0.246,1.058,1.012
0.524,0.562,0.053,0.269,0.401,-0.723,0.775,1.348,1.231,1.215
0.332,0.946,0.889,0.027,-2.028,1.331,0.737,1.443,4.456,4.336
0.146,0.79,0.462,0.05,0.259,-2.628,1.112,-0.798,1.994,1.955
0.359,0.254,0.585,0.696,-0.085,1.056,-0.364,1.178,1.004,0.942
0.583,0.71,0.281,0.273,-0.601,0.208,0.478,-0.445,1.493,1.441
0.223,0.514,0.771,0.373,-0.889,-0.696,0.919,0.813,0.931,0.877
0.75,0.101,0.02,0.88,-1.22,0.174,-0.515,-1.127,1.371,1.333
0.776,0.607,0.918,0.361,-0.507,-2.628,-3,-0.394,3.157,3.145
0.712,0.436,0.302,0.027,-1.508,0.97,0.4,-1.172,4.631,4.621
0.309,0.29,0.582,0.557,1.309,0.398,-1.648,0.499,1.753,1.894
0.492,0.775,0.942,0.539,-1.594,-0.369,-0.347,1.046,1.602,1.54
0.79,0.79,0.053,0.423,-0.581,-0.369,0.919,0.885,1.121,1.23
0.905,0.436,0.67,0.075,0.401,1.331,-1.19,0.42,4.081,4.256
0.302,0.436,0.969,0.285,-0.055,1.143,1.373,-0.445,2.596,2.462
0.139,0.009,0.853,0.438,0.349,1.143,-0.712,-0.748,1.801,1.801
0.783,0.101,0.172,0.996,0.136,-0.852,-0.712,-0.899,1.292,1.185
0.418,0.526,0.697,0.15,-0.84,1.751,0.775,1.046,2.934,2.812
0.276,0.637,0.172,0.929,0.401,-2.628,-0.669,1.257,-0.246,-0.243
0.672,0.806,0.462,0.582,1.04,-0.369,-0.347,0.572,1.376,1.355
0.764,0.436,0.67,0.092,-1.508,-0.925,1.112,-0.263,3.158,3.39
0.223,0.844,0.249,0.777,-1.22,-1.24,-2.435,-0.072,0.416,0.399
0.556,0.637,0.349,0.462,-0.18,1.331,0.903,-0.58,1.571,1.606
0.712,0.562,0.074,0.317,0.349,-0.369,0.42,0.572,1.559,1.611
0.307,0.355,0.853,0.514,-1.266,-0.177,-2.435,-1.127,2.078,1.885
0.456,0.806,0.495,0.129,-0.765,-2.628,1.297,0.003,1.583,1.459
0.309,0.6,0.771,0.627,-0.507,-0.723,0.737,-0.798,0.564,0.57
0.808,0.436,0.057,0.2,-0.866,-0.369,-1.648,0.729,2.903,2.778
0.366,0.548,0.608,0.582,0.596,-1.087,0.523,-1.748,0.584,0.59
0.492,0.163,0.67,0.405,-0.115,-2.628,-1.807,-1.831,2.14,2.181
0.034,0.254,0.697,0.409,-1.508,-0.177,0.277,0.988,0.839,0.873
0.831,0.738,0.483,0.112,-0.804,0.208,0.775,-0.628,2.885,2.858
0.876,0.915,0.617,0.423,-1.508,-0.852,0.204,-0.394,1.758,1.737
0.974,0.935,0.733,0.755,0.002,0.617,1.232,-0.483,1.407,1.486
