X1,X2,X3,X4,X5,X6,X7,X8,y_10pc_noise,y_50pc_noise
0.8764732,0.843863193,0.225830776,0.112446574,0.908093947,1.330782865,-0.804701842,0.419541849,3.175453055,3.71332933
0.492287423,0.984408139,0.186761469,0.681955305,-0.660425753,1.330782865,-0.537191867,0.728860726,0.493772207,0.531132545
0.275933721,0.355220713,0.249947953,0.763025593,-0.236934712,1.143245137,1.683913935,-1.127495881,0.89268155,0.787429393
0.33150495,0.436450991,0.439315982,0.823048645,-0.506970203,-2.628107423,-0.47101855,0.813150907,0.232020283,0.151522162
0.423971695,0.068991391,0.029514374,0.196883067,0.771587695,0.207913212,-0.347475719,-0.580319046,2.172473458,2.060967253
0.750460442,0.774650754,0.518279181,0.589494077,1.040350648,0.397903666,-0.347475719,0.287770999,1.719749383,1.777891312
0.01637083,0.289866183,0.770917493,0.027052804,0.595721598,-0.470060667,0.478293469,0.888351062,3.220620457,4.706265808
0.583328123,0.313863166,0.929225608,0.845788066,-1.220152775,0.397903666,0.315423865,0.003317239,1.401526696,1.787178707
0.661374403,0.636833957,0.911937219,0.166018053,-0.409227935,-0.36946136,0.568414534,-0.072408731,2.948897099,2.911174675
0.671700409,0.709948248,0.739307887,0.050040825,-0.865859025,1.24187144,-0.347475719,1.114030708,3.822773336,2.777035174
0.458615173,0.825631212,0.363609352,0.665354754,0.238071686,-0.925339139,-0.47101855,-0.596618415,0.477294526,0.758441009
0.207571089,0.984408139,0.534246056,0.890477159,-0.889015814,0.174160814,-1.648344092,0.313235998,0.280882367,0.366906831
0.23549363,0.614349822,0.129106,0.132002771,-1.220152775,1.143245137,0.339113485,-1.281591042,1.840005864,2.412909019
0.484357843,0.101214771,0.38302156,0.674593736,-0.409227935,0.799507138,-0.347475719,-0.291264761,1.316425112,1.504698911
0.033983687,0.636833957,0.732791719,0.668480907,-0.840451602,0.207913212,2.291645894,-0.747734728,-0.444714366,-0.663099312
0.844356907,0.009072537,0.832182247,0.96787177,0.054120001,0.207913212,0.523082159,0.987836078,2.004635275,1.130977843
0.583328123,0.218023032,0.948939027,0.755213392,-0.236934712,1.056341057,0.400384403,-0.086394208,1.921750906,1.685806036
0.671700409,0.562060435,0.760379793,0.660757007,-0.660425753,-0.437027716,-1.189570448,-0.305093334,1.723992765,1.823008317
0.951688035,0.355220713,0.608484132,0.56180831,2.057054493,-0.696439053,0.523082159,0.003317239,2.196840905,2.790901953
0.359132807,0.636833957,0.561356909,0.430574005,-0.506970203,1.330782865,-0.668711265,-0.161203722,1.201964328,1.569834987
0.01637083,0.614349822,0.42430956,0.816979103,1.329488384,-2.628107423,-0.47101855,0.003317239,-0.239296352,-0.216526787
0.033983687,0.737855958,0.629414679,0.325198565,0.258504462,0.207913212,-0.347475719,1.44326666,0.84234158,0.716981763
0.06875598,0.636833957,0.129106,0.603607373,0.135627288,0.616575972,1.372842206,0.472295177,-0.395735786,-0.421230714
0.156882504,0.866296673,0.708132238,0.15781829,-0.80394103,1.750772597,0.132674713,0.987836078,1.930585043,1.171790609
0.750460442,0.636833957,0.172345595,0.272554661,-0.506970203,-1.051588484,-0.196049209,0.419541849,1.740167058,1.315273386
0.467808659,0.272111563,0.69723298,0.09340017,2.057054493,0.723197445,1.372842206,-0.973425692,3.366097801,3.807534722
0.671700409,0.945501224,0.225830776,0.633893265,0.076139686,1.330782865,1.112005453,0.335066748,1.276476612,1.301526397
0.182170098,0.825631212,0.670469864,0.353129477,1.660062963,-0.925339139,-0.347475719,0.39313342,1.181743858,0.90349998
0.782657544,0.162887765,0.087329164,0.978996548,0.002020622,-2.628107423,-0.202566942,-1.584023775,0.902080717,0.740791061
0.061785485,0.606580032,0.252157745,0.471027097,-0.409227935,0.397903666,-0.196049209,0.096856959,0.258661828,0.202335887
0.192488281,0.009072537,0.737986876,0.37294034,0.955775212,-0.696439053,1.747059353,-0.229026253,1.38186416,0.723269065
0.033983687,0.614349822,0.309640514,0.434954194,-0.581254847,-0.176514614,-0.404442017,0.472295177,0.293365482,0.417160384
0.492287423,0.253544274,0.514408341,0.88775951,0.40069528,-1.132285825,-1.189570448,-1.281591042,1.029546291,0.655766525
0.518148565,0.313863166,0.714941796,0.812891616,-0.409227935,1.856138808,-2.435336761,-0.394224431,0.964680615,0.743872362
0.156882504,0.725954175,0.062500865,0.812891616,-1.266032142,-0.36946136,0.523082159,1.771053814,-0.566912898,-0.528660438
0.06875598,0.313863166,0.000192795,0.003,-0.223804619,-0.176514614,-0.871612799,-0.412368165,5.338457576,5.981556167
0.156882504,0.009072537,0.019958296,0.809424872,-0.055147134,-0.176514614,0.613764053,2.003069744,0.201944291,0.226206478
0.868376162,0.436450991,0.66307348,0.48969514,1.390900288,0.397903666,-0.804701842,0.313235998,2.661767926,3.610041401
0.671700409,0.915440026,0.770917493,0.417370541,-0.660425753,0.207913212,-0.921246986,0.856454272,1.931779504,2.555152156
0.270440467,0.289866183,0.880648019,0.540553575,-2.243337008,-1.051588484,-0.347475719,1.44326666,1.394374198,1.030271991
0.849529799,0.725954175,0.330925521,0.845920936,0.245143399,-2.628107423,-0.347475719,0.813150907,0.770315275,0.953262267
0.583328123,0.614349822,0.832182247,0.145080225,-0.506970203,0.799507138,0.093298644,-0.444678432,3.169149707,3.296552506
0.492287423,0.547819412,0.129106,0.094922022,-0.764935884,-0.696439053,-1.807226567,-0.016898746,2.75686021,1.623624001
0.711711725,0.068991391,0.349021934,0.866289474,-0.80394103,-0.36946136,-0.196049209,-0.216771959,1.435541573,1.565053869
0.275933721,0.101214771,0.000192795,0.217596984,-0.087316868,0.397903666,0.613764053,-1.447969652,1.686514362,0.874618323
0.624025279,0.313863166,0.386643315,0.468172147,-1.50768664,1.330782865,-0.364261368,1.257230164,1.803025569,1.637840732
